Майлз Блетчли
Люциан Боул
Милисента Булстроуд
Малькольм Бэддок
Дафна Гринграсс
Грегори Гойл
Перегрин Деррек
Трейси Дэвис
Блейз Забини
Винсент Крэбб
Гестия Кэрроу
Флора Кэрроу
Драко Малфой
Агнес Монкли
Грэхэм Монтегю
Теодор Нотт
Пэнси Паркинсон
Грэхэм Причард
Эдриан Пьюси
Имоджен Стреттон
Кассиус Уоррингтон
Джемма Фарли
Маркус Флинт
Теренс Хиггс
Кэти Белл
Лаванда Браун
Ромильда Вейн
Оливер Вуд
Гермиона Грейнджер 
Фэй Данбар
Анджелина Джонсон
Ли Джордан
Невилл Долгопупс
Келла
Деннис Криви
Колин Криви
Ричи Кут
Натали МакДональд
Кормак Маклагген
Элоиза Миджен
Ангус Мэтлок
Риона О'Нил
Парвати Патил
Гарри Поттер
Джимми Пикс
Демельза Робинс
Кеннет Таулер
Дин Томас
Эмили Тэйлор
Джек Слоупер
Алисия Спиннет
Джинни Уизли
Джордж Уизли
Перси Уизли 
Рон Уизли
Фред Уизли
Найджел Уолперт
Симус Финниган
Викки Фробишер
Джеффри Хупер
Юан Аберкромби
Деннис Алдермастон
Стюарт Акерли
Маркус Белби
Мэнди Броклхерст
Терри Бут
Энтони Голдстейн
Роджер Дэвис
Дункан Инглби
Майкл Корнер
Эдди Кармайкл
Пенелопа Кристал
Полумна Лавгуд
Падма Патил
Грант Пейдж
Орла Свирк
Джереми Стреттон
Джейсон Сэмюэлс
Лайза Турпин
Роберт Хиллиард 
Чжоу Чанг
Мариэтта Эджком
Ханна Аббот 
Сьюзен Боунс
Элеонора Брэнстоун
Меган Джонс
Седрик Диггори 
Оуэн Колдуэл
Эрни Макмиллан 
Хейди Макэвой
Лаура Мэдли
Максин О'Флаэрти
Малькольм Прис
Энтони Рикетт
Эллина Роман
Захария Смит
Габриэль Трумэн
Кевин Уитби
Джастин Финч-Флетчли
Герберт Флит
Беатрис Хейвуд
Уэйн Хопкинс
Роза Целлер
Тамсин Эпплби
